,city,price,bathrooms,bedrooms,livingArea,homeType,taxAssessedValue,Price/sqft,HasFlooring,HasHeating,HasCooling,HasGarageSpace,HasLaundary,HasFirePlace,HasPool,Employment,Schools,Crime
94,Berkeley,1150000,3,3,1434,SINGLE_FAMILY,1094304,801.9525802,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
95,Berkeley,5250000,0,3,,MULTI_FAMILY,2327791,,No,Yes,Yes,Yes,No,Yes,No,B-,A,F
96,Berkeley,629000,2,1,773,CONDO,586387,813.7128072,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
97,Berkeley,850000,1,1,1244,CONDO,,683.2797428,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
98,Berkeley,1250000,1,2,1060,SINGLE_FAMILY,398793,1179.245283,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
99,Berkeley,1170000,2,3,1235,SINGLE_FAMILY,830000,947.3684211,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
100,Berkeley,849000,1,2,620,SINGLE_FAMILY,630702,1369.354839,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
101,Berkeley,959000,2,2,1144,SINGLE_FAMILY,627757,838.2867133,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
102,Berkeley,1475000,2,3,1507,SINGLE_FAMILY,70697,978.7657598,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
103,Berkeley,775000,2,2,900,CONDO,354531,861.1111111,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
104,Berkeley,885000,1,2,1056,CONDO,649178,838.0681818,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
105,Berkeley,1195000,2,2,1391,SINGLE_FAMILY,919386,859.0941769,Yes,Yes,Yes,Yes,Yes,Yes,No,B-,A,F
106,Berkeley,2691000,6,6,4269,SINGLE_FAMILY,1801531,630.3583978,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
107,Berkeley,3195000,3,3,3472,SINGLE_FAMILY,1396033,920.218894,Yes,Yes,Yes,Yes,Yes,Yes,Yes,B-,A,F
